业务ID,L1模块,L2主题,L3核心概念,L4原子知识点,知识本体类型,前置依赖节点,纵向前置节点,默认分册,教材版本,年级,学期,单元序号,单元名称,小节序号,小节名称,认知共生节点,建议SOLO上限,常见错误模式
KP-0001,数与代数,整数认识与加减法(20以内),数数,10以内点数,表征-基序数,,,一上,人教版,1,上,1,准备课,1,数一数,,L1,域1:逐个数而非扫视识数(subitizing缺失)
KP-0002,数与代数,整数认识与加减法(20以内),比多少,一一对应比多少,概念-比较,,,一上,人教版,1,上,1,准备课,2,比多少,,L1,域3:比与比值混淆/化简比和求比值不分
KP-0003,数与代数,整数认识与加减法(20以内),1~5的认识,1~5的基数意义,表征-基序数,,,一上,人教版,1,上,2,1-5的认识和加减法,1,1-5的认识,,L1,域1:分不清'第3个'(序数)和'3个'(基数)
KP-0004,数与代数,整数认识与加减法(20以内),1~5的认识,1~5的序数意义,表征-基序数,KP-0003,,一上,人教版,1,上,2,1-5的认识和加减法,1,1-5的认识,KP-0003,L1,域1:分不清'第3个'(序数)和'3个'(基数)
KP-0005,数与代数,整数认识与加减法(20以内),1~5的认识,1~5的读写,概念-读写,KP-0003,,一上,人教版,1,上,2,1-5的认识和加减法,1,1-5的认识,KP-0003|KP-0004,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0006,数与代数,整数认识与加减法(20以内),比大小,1~5的比大小,概念-比较,KP-0003,,一上,人教版,1,上,2,1-5的认识和加减法,2,比大小,KP-0003,L1,域3:比与比值混淆/化简比和求比值不分
KP-0007,数与代数,整数认识与加减法(20以内),分与合,2~5的分与合,关系-分与合,KP-0003,,一上,人教版,1,上,2,1-5的认识和加减法,3,分与合,KP-0003,L2,
KP-0008,数与代数,整数认识与加减法(20以内),1~5的加法,1~5的加法(和在5以内),算法-不进位,KP-0007,,一上,人教版,1,上,2,1-5的认识和加减法,4,加法,KP-0007,L1,
KP-0009,数与代数,整数认识与加减法(20以内),1~5的减法,1~5的减法(被减数在5以内),算法-不退位,KP-0007,,一上,人教版,1,上,2,1-5的认识和加减法,5,减法,KP-0007,L1,
KP-0010,数与代数,整数认识与加减法(20以内),0的认识,0的基数意义,表征-基序数,,,一上,L1,,,,,,,,L1,域1:分不清'第3个'(序数)和'3个'(基数)
KP-0011,数与代数,整数认识与加减法(20以内),有关0的加减法,任何数加0等于原数,关系-运算律,KP-0010,,一上,L2,,,,,,,,L2,
KP-0012,数与代数,整数认识与加减法(20以内),有关0的加减法,任何数减0等于原数,关系-运算律,KP-0010,,一上,L2,,,,,,,,L2,
KP-0013,数与代数,整数认识与加减法(20以内),有关0的加减法,相同数相减等于0,关系-逆运算,KP-0010,,一上,L2,,,,,,,,L2,
